Type of session;Priority;Action Group;Session Code;Session Title;Date and time of the session;Date and time of the session2;Room;Session Summary;Session schedule;Keywords;Projects included;Convening organizations and session coordinators;Other organizers;Duration of the session;Expected outcomes
Ordinary Thematic Session;Cooperation;3E  Enhance North-South, South-South and triangular cooperation on data and information sharing, and capacity building  ;3,00E+04;Leveraging innovative finance to strengthen North-South, South-South and Triangular water cooperation.;Thursday 24th of March from 9.00H to 10.30H;Thursday 24th of March from 9.00H to 10.30H;Room 10;Key opportunities through innovative funding mechanisms to implement North-South, South-South and Triangular water cooperation to improve access to water and sanitation for all.;"Opening (5 min)
Keynote speech (10 min)
Panel discussion (20 min) 
Discussion between panelists : follow-up questions (20 min)
Questions and answers with the audience (30 min)
Conclusion";International water cooperation, Innovative finance, Capacity building, Performance improvement, Water and sanitation for all.;"Project 1: “IsDB’s “Reverse Linkage” innovative funding mechanism: Office National de l’Electricité et de l’Eau Potable– ONEE (Morocco) technical support for the sanitation project of Conakry in Guinea.”
Project 2 : the French “1% cooperation” as key tool for WASH projects, and integration with other sectors (solid waste, energy)
";"Office National de l’Electricité et de l’Eau Potable– ONEE (Morocco)
";"Agence de l'Eau Adour-Garonne 
World Bank Group
Islamic Development Bank
Ministère de l'Urbanisme, de l'Habitat et de l'Aménagement du Territoire de la République de Guinée
African Development Bank
Autorité du Bassin de la Volta 
";90';"•	To showcase successful water cooperation projects worldwide (completed or ongoing) and advocate for their scaling up through innovative funding mechanisms.
•	Share France’s experience of the Oudin-Santini law (“1% cooperation”), which authorizes local authorities, water unions and water agencies to dedicate up to 1% of their revenues for international cooperation in the field of water and sanitation.
•	Share ONEE (Morocco) experience with IsDB’s Reverse Linkage innovative funding mechanism to provide technical support to Guinean actors in the field of sanitation, 

Expected impacts :
•	Replicate successful cooperation projects in international contexts especially amongst developing countries, taking into account their specificities,
•	Increase the use of the French Oudin-Santini law (“1% cooperation”) 
•	Attract new financial ressources for international cooperation in the field of water, including Climate Funds to support capacity building activities, 
•	Improve access to water and sanitation to reach SDG 6 targets (6.1 Safe drinking water, 6.2 Safe sanitation and hygiene, 6.5.2 Transboundary water cooperation, 6.A Water and sanitation support etc.),
"
Ordinary Thematic Session;Cooperation;3F Enhance multi-stakeholder dialogue and partnerships, including with outside sectors;3F1 ;"WASH, HEALTH AND ENVIRONNEMENT
";Wednesday 23rd of March from 9.00H to 10.30H;Wednesday 23rd of March from 9.00H to 10.30H;Room 9;"Access to sanitation remains a key issue for millions of people. 2.4 billion still lack access to basic sanitation, and 1.2 billion of these live in fragile or extremely fragile contexts. The COVID-pandemic only disclosed the fragility of the achievements by various stakeholders so far and highlights the importance of collaboration among WASH, health, and environment sectors for sustainable results.
Addressing these issues, the session focuses on successfully completed or ongoing programmes and projects showcasing the integrated policy and management efforts among WASH, Health and Environment sectors and advocates for their scaling up to raise the profile and strengthen the sustainable collaboration of WASH and broader health and environment sectors to address the needs of their common target groups, incl. vulnerable population, women, and youth, etc. ";"•	Learning workshop – preliminary online event
•	Talk show – 90 min
";"•	Learning workshop 
•	Talk show";"Project 1 – Learning workshop:  From data to the policy that strengthens the integration between 
WASH, health, and environment 
Project 2 - Talk Show: Multi-stakeholder Water-Health-Environment partnerships for safe WASH services for all 
Project 3 - Talk Show: Multi-stakeholders Sanitation Project in a Fragile Context (Mali) 
";"Earth Forever
Astou Sarr Senegal Country office Programme";"French Water Partnership (PFE), Lake Baikal Foundation for Environmental Applications and Research, Baikal Water Forum, Don Bosco Foundation, WfWP;
WiSDOM, The Greater Paris Sanitation Authority (SIAAP); The Senegal River Basin Development Authority (OMVS); OECD Water Governance Programme; SUEZ International.
";90';"•	to achieve better results for the implementation of SDG6 in collaboration with the other water-related SDG targets by 2030 as development actors seek to adapt to the humanitarian ecosystem to address vulnerabilities, manage risks and build resilience.

•	to serve as a platform to meet potential multistakeholder partners to develop and implement Water-Health-Environment joint programmes and projects towards 10th World Water Forum. 
"
Ordinary Thematic Session;Cooperation;3F Enhance multi-stakeholder dialogue and partnerships, including with outside sectors;3F3;to be added;Tuesday 22nd of March from 13.30H to 15.00H;Tuesday 22nd of March from 13.30H to 15.00H;Room 1;But how does the private sector cooperate effectively with women to help address gender inequity in water and sanitation and what lessons are being learned.;"To be finalised

Moderated lively debate with case studies from the Global South

We propose a session under Theme 3: Collaboration. The session will be a mixture of case studies, research and learning. The objective is to really understand the finer details of how to ensure successful collaboration between the private sector and women’s groups.

The session will also report on a joint initiative that AquaFed and WFWP run throughout the Forum week (Pop-up sessions)";Cooperation, partnerships, gender inequity;to be added;"AquaFed
WFWP
ISW
Humanright2water.org
Toilet Board Coalition tbc
Sanergy tbc
IWMI South Africa";UNWATER (media team);90';We expect a lasting impact as the water community can learn from theses successful campaigns and cooperation on the ground.
Ordinary Thematic Session;Means and Tools;4A Mobilize additional financial resources and promote innovative funding ;4A2;Blended Water Finance to Accelerate SDG Compliance: keys for success;Thursday 24th of March from 9.00H to 10.30H;Thursday 24th of March from 9.00H to 10.30H;Room 13;Scaling up water financing is needed, especially in emerging and developing countries. Blended Finance can play an important role in that matter. This session sheds light on the main attributes that are commonly associated with successful Blended Finance projects in the water sector, distinguishing between grid systems under scope of water utilities and off grid ones, while looking to identify how the different actors can contribute to scale it up in the sector. ;"Opening (5 min): World Water Council (WWC) Representative
Keynote speaker 1 (10 min): Alex Money, consultant WWC, presents: Common Features of Successful Blended Finance Projects
Keynote speaker 2 (10 min): Director Aqua for All
Panel (60 min):  i)MDB/CAF; ii) Government; iii) Private Bank/ Sidian Bank; iv) International NGO and/or Private Investor
Closing (5 min): To be determined
 
Moderator: host/co-host";Innovative, financing, Investment Gaps, SDG;To be determined;CAF and Aqua for All;World Bank, UN Capital Development Fund, OECD;90';Disseminate an analytic piece of work sponsored by the WWC
Ordinary Thematic Session;Means and Tools;4A Mobilize additional financial resources and promote innovative funding ;4A3;"Sustainable Finance after COVID-19
";Thursday 24th of March from 13.30H to 15.00H;Thursday 24th of March from 13.30H to 15.00H;Room 5;"New models and mechanisms that inspire and reward utilities for thinking outside of their government budget need to be implemented alongside new methods for financing water and sanitation service provision
";"tbd
";"utilities; financing plans; COVID19
";tbd;"SOMAGEP, UN Capital Development Fund
";tbd;90';tbd
Ordinary Thematic Session;Means and Tools;4A Mobilize additional financial resources and promote innovative funding ;4A4;Financing instruments for paradigm shift in Africa water finance;Tuesday 22nd of March from 9.00H to 10.30H;Tuesday 22nd of March from 9.00H to 10.30H;Room 7;The session discuss traditional as well as innovative financing instruments for the water sector in Africa in view of  lessons learned globally. During the session a handbook on available financing instruments for the Africa region will be released and through a panel discussion between world experts and regional pioneers the most important principles for innovative and climate finance, will be elucidated. This will include a discussion on the potential of partnerships and coalitions and the role of multiple players: NGO's, public development banks and others. ;"Agenda	
Opening words about the session objectives and the handbook	AFDB (High level) - 10 min

Keynote: Setting the stage: Africa main challenges and opportunities	Keynote speaker (High level) - to be decided - 10 min
Handbook presentation 	AFDB (to be named) - 30 min
Brief introduction and presentation of main principles/ findings	
AFDB client - talking on a specific example	5 min
	
Panel discussion - creating the African innovative finance ecosystem ( & rules of the game )	Firestarters -of 2,5  minutes each (role from a specific angle) and then followed by open discussion and audience questions (questions to be discussed with co-convenors to make they can mention their points)
 in reaction to the handbook presentationg around the following key topics:
	
Local project preparation / investment planning capacity - to shape nexus/ multi-sectoral and bankable projects that leverage the power of PPP 	AWF-TBN

Africa Climate Mobility Initiative - Blended Finance principles for water investments, partnerships and Coaliation	Africa Climate Mobility /TBN

National Public Banks (Finance in Common)	AFD/ TBN

Markets / finance for SMEs 	Waterpreneurs / TBN

Humanitarian NGO's 	Solidarite International / TBN
Strategic investment pathways for African cities 	OECD/ TBN

Summary of session takeaways & closing	TBN

Moderators: Debjyoty Mukherjee (Part -1) and Monica A. Altamirano (Part 2)
";"Access to finance
Financial Instruments
PPPs
Climate and innovative finance
SMEs";"Handbook for financing water security in Africa
Africa Climate Mobility Initiative
Finance in Common (?)/ AFD initiative ";"AfDB, NOW Partners
";"AFD
Waterpreneurs 
Solidarite International 
Africa Climate Mobility Initiative";90';"Enhance knowledge among key region  stakeholders on the available and emerging financial instruments for water 
Elucidate innovative and climate finance principles for water security in Africa
"
Ordinary Thematic Session;Means and Tools;4A Mobilize additional financial resources and promote innovative funding ;4A5;Investing in Nature-based Solutions for Water Security;Tuesday 22nd of March from 10.45H to 12.15H;Tuesday 22nd of March from 10.45H to 12.15H;Room 8;Investing in nature-based solutions, such as preserving or restoring wetlands and natural flood management measures, is essential to enhance water security. These solutions can complement or substitute for grey infrastructure, such as built reservoirs and water treatment plants. Mobilising funding for those solutions raises specific challenges, as they generate multiple benefits for a diverse range of beneficiaries - and only some of these benefits can be monetised. Yet,  nature is often one of today's greatest investments, particularly to address the twin crisis of climate change and biodiversity loss. The session will provide practical guidance for practitioners and investors on how funding for nature-based solutions for water security can be arranged and financing mobilised. ;"0-10’ : introduction to the topic and agenda for the session, Sophie Trémolet, Europe Freshwater Director, The Nature Conservancy 
10-25’: Presentation “How to Guide to Develop Watershed investment Programmes” by The Nature Conservancy – with comments from AFD 
25-40’: Presentation “Nature-based Solutions for Water Security – An Investor Guide” by CAF and Finance Earth / TNC 
40-55’: Presentation of the Pout Climate Adaptation and Aquifer Recharge project in Senegal – by a representative from the Ministere de l’Eau et de l’Assainissement du Senegal
55-70’: Presentation of SABESP approach to NbS investment 
70-90’: Questions and Answers and conclusions on next steps - including call-outs for the Nature for Water Facility and upcoming trainings on the topic (moderated by TNC) 
";"Nature-based solutions; water resources; water security; investment; finance ";"Launch of ""Nature-based Solutions for Water Security – An Investor Guide"" (produced by World Water Council, The Nature Conservancy and Finance Earth); presentation of a How to Guide to Develop Watershed Investment Programmes (produced by The Nature Conservancy and the Agence Française de Développement) and presentation of two projects: Pout in Senegal and SABESP NBS programme in Brazil"; The Nature Conservancy ;CAF, SABESP, Agence Française de Développement, Ministere de l'Eau et de l'Assainissement du Senegal;90';Awareness about financing NBS for water security has been substantially increased. Participants know of the publications that will be presented and can access them. They have been sensitised to the existence of various Technical assistance facilities and training programmes to expand their knowledge on the topic. 
Ordinary Thematic Session;Means and Tools;4A Mobilize additional financial resources and promote innovative funding ;4A6;Multi-level Water Financing Roles and Practices;Tuesday 22nd of March from 9.00H to 10.30H;Tuesday 22nd of March from 9.00H to 10.30H;Room 9;Creating opportunities for action-oriented solutions providers (entrepreneurs, investors, corporations, utilities, public authorities, associations) to network and accelerate the spread of their solutions.;"Introduction and framing  (10 minutes)

 Presentations from Government, Commercial investors, Philanthropic organizations, and a project developer on the issues, opportunities and problems encountered to accelerate and scale finance in the water sector  (8 minutes each, 1 minute transition, 35 minutes total)

Series of 6 pitches (5mn each, 1 minute transfer time, 35 minutes total; at least 3 are from West Africa)

Debrief questions and audience engagement (10 minutes).";marketplace, finance, entrepreneurship, enabling, pitch;“Innovate 4 Water” marketplaces / To be checked with Alex Money;Waterpreneurs , US Department of Agriculture ;Possibly World Bank, OECD, CAF, The Nature Conservancy, InTent, Solar Impulse Foundation, IDFC, USAID, AfDB, University of Nebraska – Water for food... and others;90';"Expected outcomes: Increased mutual visibility between solution providers and investors, Creation of an environment of trust that allows cross-sector collaboration, strengthening of the impact investment market and de-risk of market-based projects, creation of integrated approaches (i.e. coalitions, consortia) accelerating the financing of the sector
Follow-up linkages: “Innovate 4 Water” marketplaces series all over the world, connections to SMEs and funding agencies
"
Ordinary Thematic Session;Means and Tools;4A Mobilize additional financial resources and promote innovative funding ;4A7;Platform for Dialogue on Financing Water;Monday 21st of March from 14.00H to 15.30H;Monday 21st of March from 14.00H to 15.30H;Room 2;"The session seeks to engage to the voices of rural communities, youth, mayors and other local actors, as well as the financial sector in order to include their perspectives into the dialogue on financing water.  

These shared perspectives can help shape and influence global initiatives, including the Roundtable on Financing Water and the OECD Global Observatory on Financing Water Supply, Sanitation and Water Security";"Opening remarks (5’)
•	OECD
3 Rounds of moderated interactive discussion (25’ each)
1.	Who are the key voices and perspectives that can bring value to dialogues on financing water and sanitation, but may be overlooked or not usually engaged?
2.	Share inspiring practices to identify, connect and engage with these actors at local, national, or global levels
3.	How can we effectively bring these insights and perspectives into ongoing global initiatives, such as the Roundtable on Financing Water, the OECD Global Observatory and the UN Water Conference in 2023, among others? 
Closing remarks (10’)
•	Key take away’s and actions to move forward
";"Financing, investment, innovation, inclusion, rural livelihoods
";Roundtable on Financing Water;OECD ;"World Bank
Solidarites Intl.
US Dept of Agriculture
UN Capital Development Fund";90';"Key insights on who are important (and often missing) voices that need to be reflected in global dialogues on financing water and sanitation to provide a broader range of perspectives.

Examples of practical ways to identify, connect and engage a broader range of perspectives to ensure they can contribute to broader global initiatives, including the Roundtable on Financing Water, the OECD Global Observatory on Financing Water Supply, Sanitation and Water Security and the UN Water Conference in 2023."
Ordinary Thematic Session;Means and Tools;4A Mobilize additional financial resources and promote innovative funding ;4A8;Financing Urban Sanitation;Wednesday 23rd of March from 9.00H to 10.30H;Wednesday 23rd of March from 9.00H to 10.30H;Room 8;"""Growing, and maximising the impact of urban sanitation investments and services in Africa.""";TBD;Sanitation, Financing, Private sector, Climate change, Innovations;The session will discuss sanitation financing opportunities and  will showcase the new Fund being established – the AUSIF. ;Water.org, AfDB;TBD;90';TBD
Ordinary Thematic Session;Means and Tools;4A Mobilize additional financial resources and promote innovative funding ;4A9;PIR - Policy, Institutional and Regulatory Enablers: the glue that holds everything else together;Tuesday 22nd of March from 10.45H to 12.15H;Tuesday 22nd of March from 10.45H to 12.15H;Room 11;The estimated present value of the total investment needed to achieve SDG6 is as high as three to four times the current public expenditure, with most countries reporting insufficient financing. Water competes with other sectors for financiers’ attention, driven by the attractiveness of the risk-return profile – and one of the biggest risks is water insecurity. Focusing on Policies, Institutions, and Regulation (PIR) can enable water resilience because it focuses on systemic change, beyond technical infrastructure interventions alone. In this session, we will zoom in how PIR can be an enabler of financial and technical solutions and enhance their impact for better services.;"1.	(5 mins.) Welcome by hosts (2) 
Hosts welcome audience and speakers introducing the theme as commentators. Their comments lead to the 1st inspirational case.
[3 mins. Transition to introduce case speaker and announce Panel inviting already interactions with audience]

2.	(5 mins.) Inspirational case 1
Speaker presents the first story to illustrate policy and institutional enablers.
[2 mins. Transition to introduce Panel]

3.	(30 mins.) Panel
(4-5) Panelists discuss the case from various stakeholders’ perspectives (Financiers, Regulator, Utilities, development agency) in a dialogue with hosts and the audience.
[2 mins. Transition to introduce the 2nd Case]. In this section the Panel will address the following questions on the role of regulators:
o	Are “independent” regulators sufficient to promote effective investments in resilient services? What is also needed?
o	How are regulators building resilience into financial sustainability?
o	Are regulators incentivizing the innovative solutions the sector needs?

4.	(5 mins.) Inspirational case 2
Speaker presents the second story to illustrate regulatory enablers.

5.	(28 mins.) Panel
The Panel now discuss the 2nd case in a dialogue with hosts and the audience. In this section the Panel will focus on Policies and Institutions, addressing the following questions: 
o	Can we yield the impact of the local context in better policy?
o	Is the power of dialogue being harnessed?
o	Is legislation a catalyst or a nudge?
o	Why the informal rules of the game (vested interest of key actors) matter?
o	Should we change (formal and informal) models?
o	Are institutions strong enough to go from a contingency approach to a water security one that includes O&M and capital investments?
o	Are the right incentives in place to address local weaknesses and achieve financial resilience? 

6.	(10 mins.) Closure 
Hosts wrap up the discussion and identify action points to close.";"Enablers; system-approach; incentives; financial sustainability; resilience";PIR Framework Tool, World Bank Group;"CAF (Latin America Development Bank) 
 World Bank";"The Organisation for Economic Co-operation and Development (OECD-OCDE)
CRA Comisión de Regulación de Agua Potable y Saneamiento Básico
Agência Nacional de Águas e Saneamento Básico (ANA) Brazil
The Eastern and Southern Africa Water and Sanitation (ESAWAS) Regulators Association
Asociación de Entes Reguladores de Agua Potable y Saneamiento de las Américas (ADERASA)";90';"Outcomes
1.	Showcase existing experiences from the perspective of key stakeholders in how PIR can be an enabler of financial and technical solutions and enhance their impact for WSS.
2.	Foster dialogue on policies, addressing the impact of the local context.
3.	Share good practices and contribute to improving incentives that help water and sanitation institutions capacity, planning and data management. 
4.	Identify champions and promote new partnerships that support the role of regulators in incentivizing positive sector outcomes.

Follow up linkages with events and initiatives after the Forum
1.	SIWI Stockholm World Water Week 2022
2.	IWA International Water Regulators Forum in Copenhagen at the World Water Congress 2022
3.	VIII and the X World Water Forum 
4.	Conference on Water Finance and Governance in LAC. Nov 2021"
Ordinary Thematic Session;Means and Tools;4B Implement the principles of good water governance, including participatory decision-making ;4B1;Water Governance as a means to an end: measuring the impacts of Water Governance;Tuesday 22nd of March from 9.00H to 10.30H;Tuesday 22nd of March from 9.00H to 10.30H;Room 6;According to the OECD Principles on Water Governance, effective, efficient and inclusive water governance is key to guarantee enhanced water security and better access to safe drinking water and sanitation services. As “one cannot improve what cannot be measured” measuring the economic, social and environmental impacts of water governance, would provide evidence on tangible results to governments, citizens, businesses and services. The session will discuss existing tools, methodologies and guidelines to measure the impacts of water governance.;"The session will be moderated by the OECD and divided in 2 parts : 

•	Keynote speech (10 mn)

•	Part 1. Measuring the impacts of good water governance – What for? (30 minutes)
National government representative 
Local  government representative 
International organisations (e.g. OECD, WB, WRI)
Q&A session (10mn)

•	Part 2. Measuring the impacts of good water governance – How? (30 minutes)
Academics and practitioners contributing to the Special Issue of Water International (20 mn)
Q&A (10mn)";Impact – outcomes - indicators – water governance – water security;"OECD Water Governance Initiative
OECD Principles on Water Governance
";OECD Water Governance Initiative;IWRA;90';"•	An OECD policy paper on impact indicators relying on the review of existing literature on impact indicators
•	Key outcomes of the session to be produced after the Forum.  
•	Connections with Universities will be built to pursue the international research on impact indicators. 
"
Ordinary Thematic Session;Means and Tools;4B Implement the principles of good water governance, including participatory decision-making ;4B2;ards water security in Africa: the Roundtable of African Mayors for Water Security ;Thursday 24th of March from 10.45H to 12.15H;Thursday 24th of March from 10.45H to 12.15H;Room 7;The COVID-19 pandemic has acted as a magnifying glass on pressing water and sanitation challenges in Africa, especially for the 56% of the urban population living in informal settlements, lacking access to proper hygiene conditions. Climate change, urbanisation and population growth will add further pressure on water resources. This session will aim at raising the profile of Mayors and City leaders in enhancing water security in Africa. Participants will discuss challenges and opportunities towards water security in Africa.;"The session will be moderated by the OECD and UCLG Africa and divided in 2 parts : 

Part 1. The Roundtable of African for Water Security: a new platform to achieve water security in Africa
•	Introductory remarks by national leaders, OECD and UCLGA (20 minutes)
•	Session 1. Raising African Mayors’ voices (40 minutes)
Moderated discussion amongst 5 mayors. 
•	Session 2. Supporting the Roundtable of African Mayors for Water security: a multi-stakeholder perspective  (30 minutes)
Moderated discussion with supporting partners to the Roundtable, including  development banks, private stakeholders and international organisations. 

Part 2. Defining the future of the Roundtable : towards a Roadmap for the Roundtable 
•	Session 1. Roundtable discussion (45 minutes)
The participants will be divided in groups chaired by one designated Mayor to discuss the roadmap. 
•	Session 2. Final Plenary panel discussion: building a consensual a roadmap (30 minutes).
The designated Mayors will report the results of the discussion back to plenary and will engage in an open discussion with the audience.
•	Conclusions by OECD and UCLGA (15 min)
";Mayors - Water security – roundtable – African cities –water governance;"UCLG Africa Task Force
Race to resilience Initiative
OECD Water Governance Programme 
";OECD Water Governance Initiative ;"African Development Bank - TBC
West African Development Bank - TBC
AFD - TBC
YICD - TBC
ICLEI Africa - TBC
";90';"•A final version of the three-year roadmap of the Roundtable of African Mayors for Water Security, towards the 10th World Water Forum. 
•A toolbox to replicate the format of the Roundtable in other regional contexts. 
"
Ordinary Thematic Session;Means and Tools;4B Implement the principles of good water governance, including participatory decision-making ;4B3;The role of the localized information system in water management and planning;Thursday 24th of March from 13.30H to 15.00H;Thursday 24th of March from 13.30H to 15.00H;Room 7;"""Access to information on the state and evolution of water resources and their uses is an imperative need and a major challenge to establish an inclusive governance framework that takes into account in a structured manner the different links of integrated water management.

In view of the crucial importance of data, good governance of water resources therefore requires a strengthening of capacities to access and process water data in collaboration with local stakeholders, in order to generate information and services that meet the requirements of inclusive planning.
""
";""" Introduction (10 mn)

Part 1: ""The role of the localized information system in water management and planning"" (30 mn)  
- Panel of experts and international organizations (representative of international institutions (EU - ADB - World Water Council - OECD - World Bank -WRI). 
- Discussion on the institutional and regulatory framework needed to facilitate access, processing and valorisation of data in the water sector at the local level.

Part 2: Structured multi-level dialogue to facilitate access, processing and valorisation of water data at the local level (30 mn)
- Panel composed of national representatives and mayors representing the African, Latin American and Asian regions.
- Discussion on existing cooperation mechanisms to facilitate the flow of data between the different levels of governance and to strengthen the capacity of local governments to process and analyze these data. 

Question and answer session and conclusion (20mn)
""";Data acquisition - processing - evaluation - planning - water governance;"Race to resilience 
African Mayors' Roundtable for Water Security Initiative";UCLG Africa (with the support of UCLG World);"EU - ADB - FVC - OECD - World Water Council - WRI - World Bank
UNESCO Jakarta (TBC)";90';" A report outlining the results of the session will be produced and disseminated after the forum to the various participants.
 Links with partners, universities will be established in order to continue the work on the ""race towards water resilience"" initiative.
 Strengthen the structured dialogue between the national and local levels regarding the monitoring system.N77"
Ordinary Thematic Session;Means and Tools;4B Implement the principles of good water governance, including participatory decision-making ;4B4;The changes we need in the water sector: Giving the voice to vulnerable groups;Thursday 24th of March from 9.00H to 10.30H;Thursday 24th of March from 9.00H to 10.30H;Room 8;Bringing over testimonials from community leaders, women, youth and indigenous communities from different continents on how they deal with access to water, how they manage it, how they participate on decision-making processes related to water and how they would change in the water sector of today.;"The session will be moderated by the SWE, ISW or Coalition Eau, and tentatively will be divided in 2 parts (to be confirmed upon video production):

•	Keynote speech (10 min)
•	Part 1. Testimonials that claim for change (30 minutes)
Presentation of audio-visual testimonials from developing countries.
•	Part 2. Channelling the testimonials in to change – How? (30 minutes)
4 Panellists – mostly water sector specialists will have 5 minutes to present the key outcomes of the testimonials and suggest how they could influence (20 min)
•	Q&A (10mn).
";Testimonials – Minorities – Decision-Making – Change – Participation- Water Governance;"Butterfly Effect
World Youth Parliament for Water

";"ISW
MTES 
SWE
Coalition eau
WYPW ";"•	REFELA (network of elected women leaders in Africa) – TBC
•	Presidente des Jeunes Professionnels de l’Eau (Sénégal) - TBC
•	leader of the side event on youth at WWF9 (Spain) – TBC
•	President of the WYPW (World Youth Parliament for Water)
•	VicePresident of the WYPW (World Youth Parliament for Water) 
•	President of the Haitian Youth Parliament for Water and Sanitation. 

Representatives of indigenous communities: 
•	Mohawk Council of Akwesasne (Canada-USA), 
•	Quispillacta Ayacucho Quechua Communnity (Peru), 
•	Chaco Guarani Federation (Paraguay-Brazil), 
•	Senu Nuevo Caribea Indigenous Community (Colombia), 
•	Otomi Indigenous Community (Mexico).

";90';"-	A free royalty website to download all the testimonials 
-	A paper with policy recommendations for policy-makers
"
Ordinary Thematic Session;Means and Tools;4D Develop effective, accountable and transparent institutions at all levels and promote integrity;4D1 ;Youth voices: cultivating our next generation leadership to strengthen governance, water, and health outcomes ;Tuesday 22nd of March from 13.30H to 15.00H;Tuesday 22nd of March from 13.30H to 15.00H;Room 8;"Conversations on water issues are often dominated by water sector, water experts and specialised civil society organisations. Our session aims to change this.  We need to hear new voices.  With young leaders emerging all over of the planet in business, media, technology, civil society, and governments, if they turn their leadership to water, it would be a powerful way of approaching, understanding problem and addressing causes of inequalities. We want to help the water community by bring in new leaders in an exciting way.  The session will bring together key Water leaders with the ability to influence significant change with youth organisation and leaders and civil society organisations. An alliance of today’s and tomorrow’s leaders will create a breakthrough, catalyzed by the World Water Forum in Dakar. 
";"13:30-13:35
5 mins
 	Guests arrive for registration and refreshments 

Play video to kick things off.
	 Welcome + list of presence
13:35-13:45
10 mins
 	Opening session
Welcome from Mariame Dem, Special Projects Director, WaterAid (moderator)
Mariame introduces the session and structure
 
Play film: compilation of video messages from youth around the world
 	Outline the exciting opportunity of youth leadership for WASH, and the challenges that the sector faces
  
Present the objectives of the session 
 
13:45-14:00
15 mins	Keynote speakers 1 & 2
Mariame introduces:

•	Dr Fatimatou Sall, President, AYPWS (Association of Young Professionals in Water and Sanitation of Senegal) 
(5mins remarks)


•	Mr. Pedro Arrojo-Agudo, Special Rapporteur on the human rights to safe drinking water and sanitation 
(5mins remarks)
	


Dr Sall – why I care about WASH, and what our organisation does. A call to action to all workshop participants to share their ideas, their energy.

Mr Arrojo-Agudo – water and sanitation as human rights – what that means, and the role of citizens, especially young people, in demanding services and holding governments to account.

14:00-14:20
20mins	Testing the waters – youth ideas
Mariame introduces the session and key questions for small group discussion

 Discussion in groups.	
To hear your ideas.

Questions for discussion :
•	What inspires you about WASH ?
•	What actions are needed to ensure everyone has clean water and sanitation ?
•	What roles can young people play ?

14:20-14:35
15mins 	Keynote speakers 3 & 4 
Mariame introduces:

•	Dr Kathryn Nwajiaku, Director of Politics & Governance Programme, Overseas Development Institute (ODI) 
(5min remarks)


•	Marième Soda Ndiaye, Youngest Senegalese MP, Youth Delegate for Africa and the Middle East on the World Water Council Board  (confirmed) 



•	Mr Henk Ovink, Special Envoy for International Water Affairs, Government of The Netherlands
(5mins remarks)
	


Dr Nwajiaku – what are the inequalities in WASH access, how do they arise and what can governments, the private sector, international donors – and young people – do about it?

Marieme  could cover how can young people improve water governance? (she can based on her MP role – policies development, budget ,

Mr Ovink – why WASH matters – to health, education, gender equality, economic growth and climate resilience. Why we need your (youth) leadership.
14:35-14:50
15mins 	Youth voices
Mariame facilitates questions and discussion

•	What ideas did you talk about in your groups?
•	What inspired you most from the speakers?
•	What is your call to action for leaders here at WWF?	  
To hear your voices.
14:50-15:00
10mins	Youth call to action
Mariame closing remarks, calling for all participants to engage in the ‘Clean Water. Clean Hands. Save Lives’ programme.

Invite participants to sign up to the ‘Clean Water. Clean Hands. Save Lives’ manifesto which will be launched during WWF and shared with leaders.

Thanks to all speakers. 

Play video
	Secure commitments from participants, leaders, youth and experts to contribute to the “Clean Water. Clean hands. Save lives” programme by signing the Manifesto
";Youth, Governance, hygiene, climate, accountability ;Cleans Water, Clean Hands , Save lives program (watersheds);WaterAid, Citizens Alliance ;Posceas, ;90';"Excepted outcome of the sessions

-	Produce a draft manifesto to young leaders around the world, signed by participants in the session, that is distributed by the entire group as a call to participate in the programme under the WWF umbrella.
-	Develop the simplest and most compelling message to galvanise young leaders around the world to persuade them that water should be at the center of their thinking, their citizenship, and their leadership.
-	Gain a commitment from participants to a pilot this programme in at least one watershed in Africa.

"
Ordinary Thematic Session;Means and Tools;4D Develop effective, accountable and transparent institutions at all levels and promote integrity;4D2;Effective multi-stakeholders platforms at local level for universal CITY WIDE INCLUSIVE SANITATION service delivery ;Thursday 24th of March from 13.30H to 15.00H;Thursday 24th of March from 13.30H to 15.00H;Room 6;"Setting up a multi-stakeholders platform at local level for : 
?	Stakeholders engagement 
?	CWIS planning, implementation and monitoring
?	Fund raising, budget allocation, accountability and integrity in the WASH services  
";"-	01h30-02h00 : Participants’ registration
-	02h00-02h05 : Opening remarks - AfWA
-	02h00-02h05 : Opening remarks - TBD
-	02h05-02h10 : The situation of the management of sanitation issues by municipalities 
        in French-speaking Africa - Local counc";"-	Water, sanitation, and hygiene (WASH), 
-       City Wide Inclusive Sanitation
-	Monitoring,
-	Integrity,
-	Knowledge sharing platform
";Establish and support the operationalization of a global platform of local governments for the implementation of SDG 6 of sustainable development with a focus on inclusive sanitation.;"AfWA
Speak Up Africa
";"-	Global network of cities and local, regional, and metropolitan governments and their associations (UCLG)
-	Worldwide network of French-speaking local elected officials and their associations (AIMF)
-	Water Integrity Network (WIN)
-	Speak Up Africa
";90';"-	Stakeholders mobilization and Engagement towards 
-	African Local Authority Declaration on CWIS signed 
-	Follow-up of implementation by AfWA
-	Organization of Capacity Building and experience exchange events for Local Authorities stakeholders  
"
