Type of session;Session code;Date and time;Date and time2;Room;Organizer;Title of the Side Event;Keywords;Description of the session;Session length (max 60 min) / Duree de la session (max 60 min);Expected speakers;Session agenda 
Side event SE;SE19;Tuesday 22 March, 17.00-18.00;Tuesday 22 March, 17.00-18.00;Room 3 EXPO;CILSS/Projet d’Appui Régional à I’Initiative pour l’irrigation au Sahel (PARIIS) ;"""Sahel Irrigation Initiative: Irrigation solutions to improve and accelerate agricultural water investments in the Sahel and West Africa.""";Dakar Declaration on Irrigation | Sahel Irrigation Initiative | Irrigation Solutions | Knowledge Management | Regional Approach;"The 'Sahel Irrigation Initiative' (2iS) program stemming from the ambition of the Sahel Heads of State, translated into the Dakar Declaration on Irrigation in 2013 aims to accelerate the pace of investments to reach 1,000,000 ha of irrigated areas in the near future. It was welcomed by all stakeholders, as it corresponds to the magnitude of the social, economic and environmental challenges of the Sahel.
In an introductory presentation, the CILSS, mandated by the countries, will explain how the ""Dakar Declaration"" on irrigation was translated into a regional investment program based on a consensual and critical document on the situation of agricultural water management in the Sahel, the Strategic Framework for Agricultural Water in the Sahel (SFAS). The CSEAS developed by the actors in the formulation of the Regional Support Project to the Sahel Irrigation Initiative (PARIIS) is a synthetic document of orientation and shared vision defining the guiding principles for the conduct of irrigation programs in the Sahel and in West Africa. It posed fundamental questions on the constraints and difficulties related to the development of irrigation in the Sahelian zone and in West Africa. CSEAS is recognized by stakeholders as an institutional memory that provides a solid structural foundation for current and future investments. 
In light of and based on the implementation of PARIIS and the results currently obtained in the 6 countries and at the regional level led by the CILSS, the session will seek through crossed points of view (States, regional technical and political structures, Financial Partners, Producers) to question the decision makers and the actors of agricultural water on the following questions
1) Are the actors capable of making the necessary paradigm shift and implementing the transformational approach required to stimulate the development of irrigation in the Sahel?
2) What are the practical modalities for strengthening the commitment of producers who are placed at the heart of the investment in this initiative?
3) What are the priorities on which to focus efforts to consolidate the results on the ground of this initiative based on the irrigation solution? 
4) What concrete actions should be implemented to scale up efforts and increase funding, with a view to moving decisively towards the objectives of the Dakar Declaration?   

To this end, we will focus on the Regional Support Project for the Sahel Irrigation Initiative (PARIIS), which is currently being implemented and which constitutes a lever for the realization of this ambitious program. The ambition of this project is to create the necessary conditions for the development and scaling up of irrigation solutions in the Sahel and West African countries. 
The PARIIS results that will be presented indicate the need to continue and consolidate the process of documenting and implementing viable investment models, which are beginning to prove themselves in the field. This process should result in a range of ""irrigation solutions"" adapted to different types of irrigation systems, to improve current and future investments. The ambition is to create a training effect and to go to scale in the Sahel and West African countries. 
The Panel is a moment of reflection on the key issues raised. ";60';"Moderator: ECOWAS Director of Agriculture 

Introduction to the Panel: Moderator 
Introductory presentation on 2iS and PARIIS: PARIIS Regional Coordinator 

Panelists: UEMOA, GWP/AO, Ministry of Agriculture and Rural Equipment of Senegal, ROPPA, World Bank, CILSS 

1) Adapted irrigation solutions, driven by producers and supported by partners for viable investments: one of the keys to a structural transformation of agricultural policies. (Panelists: Minister of Agriculture and Rural Equipment of Senegal and SE CILSS) 
2) What strategy for coordinated mobilization of producers and civil society in the advocacy and implementation of investment programs adapted to their needs (Panelist: Honorary President of ROPPA - Mamadou Cissoko)
3) The implementation of regional projects/programs: the best approach to facilitate regional integration and the extension of adapted investment models (Panelist: CILSS/UEMOA/ECOWAS) 
4) Technical and financial partners are committed to supporting the efforts of governments and inter-governmental organizations in innovating and accelerating the pace of investment in irrigated agriculture (Panelist: World Bank).   ";"5 mn : Introduction to the Theme 
10 mn : Presentation on 2iS and PARIIS
25 mn : Panelists (5 mn each)
15 mn : Exchange on questions of interest
5 mn : Synthesis and closing
"
Side event SE;SE22;Tuesday 22 March, 17.00-18.00;Tuesday 22 March, 17.00-18.00;Room 8 EXPO;Global Green Growth Institute, International, intergovernmental organization;Water and Sanitation in the Green PSE;PES | Water | Sanitation | Policies | Investment;"The Green PES program has identified six sectors as priorities after a participatory and transparent analysis process, including the Water and Sanitation sector. 
The session will discuss (i) the objectives of the Green PES for the water and sanitation sector in a circular economy perspective, (ii) the public policies to be put in place, (iii) the experiences capitalized in other countries and (iv) the investment opportunities to achieve the Green PES objectives for the sector. ";60';"Moderator: Aïda Diongue-Niang; Panelists: Khalil Rahmane Ndiaye (Bureau Opérationel de Suivi-Plan Sénégal Émergent, Responsable du pôle de structuration ou son DG); Gatta Soulé Ba (Ministère de l'Eau et de l'Assainissement, Cellule de Planification, de Coordination et de Suivi des Programmes, Environnementaliste ou son Directeur) Abdou Aziz Diedhiou (The Agricultural Bank, Head of the Studies and Strategy Department, Environment and Climate Focal Point or its Director); ";
Side event SE;SE23;Tuesday 22 March, 17.00-18.00;Tuesday 22 March, 17.00-18.00;Room 9 EXPO;UNICEF;Water scarcity and water issues: a dialogue with the Young people’s voices from the Sahel;Dialogue | young people | Sahel | water issues;Aligned with the ambition of the WWF, UNICEF RO for West and Central Africa propose t a dialogue between young people from the Sahel, who are deeply affected by water issues and policy makers, as part of the 9th World Water Forum.This dialogue could be one of the panels on Day 3 o water and climate or Day 4 on water, sanitation and gender.From 2021, UNICEF has successfully engaged young people of the 10 countries in the Sahel  in inclusive public debates on key issues affecting the region. Fitting in with UNICEF's global and regional strategy for youth participation, the first public online debate on 20th November 2021 focused on climate change.;60';"5 Young people from the Sahel; 2 Ministers from Sahelian countries; 1 celebrity  and/or Goodwill Ambassador to support the initiative";Format: one hour public debate in 2 parts (problems, solutions)
Side event SE;SE24;Tuesday 22 March, 17.00-18.00;Tuesday 22 March, 17.00-18.00;Room 10 EXPO;Ministère de l'Environnement et du Développement durable/Partenariat national de l'Eau du Sénégal;Ecological water;Water | ecological and rational management;"The Ecological Water Initiative aims to build relationships with national and international institutions working in the field of water resources management,
 to generate scientific evidence to support national and local policy reforms in favor of ecological water. Because of its transversality, ecological water management requires a multi-stakeholder and multi-level partnership.";60';Dr. Adrien COLY, Research Professor, UGB Saint-Louis;
Side event SE;SE25;Tuesday 22 March, 17.00-18.00;Tuesday 22 March, 17.00-18.00;Room 11 EXPO;ACE Partner Project ;Meet and Collaborate with and African Center of Excellence ;Cooperation | Co-constructed Research Programs | Entrepreneurship ;"This side event aims at bringing together in a very casual way water professionals and stakeholders in order to open discussions to find axes for collaboration. The objectives are to:  
1-Offer African Center of Excellence working in the water field to showcase their expertise
2-In a B2B meeting style in a casual and concrete way spark discussions for potential partnerships
3-introduce african research of excellence in sustainable water resources to the world ";60';"Gregory Giraud -ACE Partner project Manager 
Ouedraogo Faissal Romaric-Coordinator of the NET-WATER
Harouna Karambiri-Leader of the African Center of Excellence (ACE) International Institute for Engineering in Water and Environment
Daouda Mama-Director of the African Center of Excellence in Water and Sanitation 
Gordana Kranjac-Berisavljevic, Deputy director of the West African Center for Water Irrigation and Sustainable agriculture 
Mamadou Cherif, Deputy Director of the African Center of Excellence on Climate Change, Biodiversity and sustainable agriculture  ";This session is a B2B session to promote cooperation between Science through African Centers of Excellence and the Socio-economic sector represented by companies, NGOs private and public sector etc. Invited organisations will have the chance to meet and greet a high ranking executive of an African Center of Excellence to discuss potential partnerships that will be co-constructed to meet both the needs and objectives of both parties. Each ACE will meet a potential partner for 10 minute to explore ways to establish a collaboration. 
Side event SE;SE26;Tuesday 22 March, 17.00-18.00;Tuesday 22 March, 17.00-18.00;Room 12 EXPO;Direction Assainissement/Administration;Sanitation and Climate Change: what responses to the challenges of mitigation and adaptation?;Sanitation | climate change | vulnerability | mitigation | adaptation;"The session is designed as a space for exchange between participants on the impacts of climate change on sanitation systems and the contribution of the sub-sector to GHG emissions. It will also be an opportunity to share with stakeholders the Senegalese standard NS-017-074 on non-collective sanitation facilities. 
The first step will be to present the subject and the issues it covers, then to discuss climate change and its effects on sanitation systems and its consideration in sanitation projects, while encouraging discussions among participants and contributions from the floor.";60';DEEC /MEDD and DA/MEA;"0 - 5 min.	Introduction/Context
5 - 10 min.	Introductory film
10 - 20 min.	Brainstorming with the audience on the question: Sanitation and climate 
climate change: what responses to the challenges of mitigation and adaptation   
20 - 30 min.	Presentation (10') 
GGGI : Evaluation of the contribution of sanitation to GHG emissions
30 - 50 min.	Discussion on the presentations 
50 - 60 min.	Key messages and conclusion"
Side event SE;SE3;Tuesday 22 March, 17.00-18.00;Tuesday 22 March, 17.00-18.00;Room 4 EXPO;L' Université Coopérative Internationale UMR CNRS LADYSS PARIS 8 Université Paris 8-Vincennes ;A school of Eco health in Nogthie (Senegal) ;Education | training | eco-health | agroecology | land and water rights | ecological knowledge | collective health.;The project to build a School of Ecohealth was decided between the inhabitants of the village of Ngothie (Senegal) and an international team of researchers who propose to build sustainable and durable solutions to the current climatic challenges that lead to soil depletion and risk of famine in the coming years.  The objective of this program, over 5 years, is to set up a School of Ecohealth, based on a cooperative of research and collective actions of local eco-productive arrangements aiming at training in the safeguarding of water, seeds, medicinal plants through the development of agroecology and the safeguarding of ecological knowledge. The School wants to open an original third space of dialogue of the ecological knowledge of Senegal, those of Brazil and Europe to develop the collective health.;60';"Jacqueline Descarpentries, UMR CNRS LADYSS Paris 8, University of Paris 8 ( France), jacqueline.descarpentries@univ-paris8.fr, Babacar Diouf, Moussa Mbodji, Amadou Yade, UCAD Dakar ( Senegal), representatives of the village of Ngothie, Savino Wilson, Edmundo Gallo, Lorena Portela, Oswaldo Cruz Foundation, Rio de Janeiro (Brazil), Vaguihno Nascimento, OTTS, and Forum of Traditional Communities ( Brazil), Joao Nunès , CES, University of Coimbra; (Porugal) Farba Diouf, Clarissa Figueira, Alice Furtado, UMR CNRS LADYSS Paris 8, University of Paris 8 ( France)  ";"Proposed date: March 22, 22 afternoon.
Presentation of the global project of the Eco Health School Jacqueline Descarpentries and Clarissa Figuiera, UMR CNRS LADYSS Paris 8, University of Paris 8, Babacar Diouf UCAD of Dakar 
A territory made vulnerable by climate change: the representatives of the village of Ngothie and the contribution of geography: Alice Furtado, UMR CNRS LADYSS Paris 8
Responses to health and environmental vulnerabilities: Savino Wilson, Oswaldo Cruz Foundation Rio de Janeiro (Brazil), Lorena Portela, Moussa Mobdji (UCAD Dakar), 
Nghotie: a territory of learning through agroecology: Edmundo Gallo, Vaguihno Nascimento, OTTS, and Forum of Traditional Communities (Brazil), 
Safeguarding ecological knowledge: Joao Nunès, CES, University of Coimbra; (Portugal) Farba Diouf, UMR CNRS LADYSS Paris 8, University of Paris 8,
Conclusion of the session: A school of Ecohealth for a collective health.

"
Side event SE;SE32;Tuesday 22 March, 17.00-18.00;Tuesday 22 March, 17.00-18.00;Room 5 EXPO;GIZ, implementing organisation;Peaceful development approaches in the Niger & Lake Chad Basin;peace & security | natural resources | climate change | resilience | water;"The objective of the session is to showcase possibilities of conflict-sensitive decision-making that is based on thorough analysis of the ground-level conditions – from political level to small communities. This session is complementary to another session organised by the FREXUS partners, the Water Peace and Security Partnership (WPS), that will tackle the complex interconnections between Water, Conflicts and Peace at a broader level.
Representatives from key donor agencies currently present in the region are foreseen to attend the opening and will reflect on the engagement and the respective achievements. The Frexus project will present its local analytical tool that is applied in selected communities of the intervention area. The tool is developed to support decision-making in a dialogue as key means for conflict prevention, mitigation and resolution, in participation with local stakeholders. 
At the panel discussion, the event will feature central partners and stakeholders of the Frexus project. In particular, representatives of the major river basin organisations in the intervention area, namely the NBA as well as the LCBC, will discuss the added value of the local analytical tool supporting decision-making processes in peace building related to natural resources. In addition, the perspectives of national and/or local authorities will also be highlighted to present the views on the ground and design the most appropriate solutions to the complexities of peaceful and sustainable management of natural resources in the Sahel region.";60';"Representative from BMZ/NL/EU FPI (tbc)
GIZ + WPS
Representatives from NBA, LCBC, local decision makers, academia";"Welcome & Opening Remarks (10min): BMZ, Representative of the Dutch government, representative of the EU Service for Foreign Policy Instruments 
Input on the implementation of the Frexus local analytical tool (10min): GIZ/WPS/Deltares
Panel Discussion (35min):	Representatives from Niger Basin Authority, Lake Chad Basin Commission, decision-makers at national or local level, universities
Summary & Closing Remarks (5min): GIZ/WPS
"
Side event SE;SE38;Tuesday 22 March, 17.00-18.00;Tuesday 22 March, 17.00-18.00;Room 13 EXPO;Ministère français de l'Europe et des affaires étrangères; 2023 UN Conference: Water, a cross-sectoral issue;2023 UN Conference on water | cross-sectoral perspectives ;"Water is a cross-cutting issue. The 20 targets of the 2030 Agenda related to water illustrate this transversality: target 4 of the MDG 1 on poverty, target 3 of the MDG 3 on health, target a of the MDG 4 on education...  The 9th World Water Forum will bring together the international water community and its conclusions will feed the debates of the next major international event: the United Nations Conference of March 2023 devoted to the mid-term review of the implementation of the goals of the International Decade of Action on ""Water and Sustainable Development"", the first conference on water of this magnitude organized at the United Nations since 1977. 
Two other events will be dedicated to the 2023 conference during the Forum: a high-level panel organized by the two co-organizing countries: the Netherlands and Tajikistan; and a session organized by Germany to report on the 'Water Dialogues for Results' held in Bonn in July 2021.
This side-event will give voice to other sectors than water: agriculture, health, land use and environment (energy and industrial sectors to be confirmed), in order to decompartmentalize the debates, to identify the challenges related to water for these other sectors and to encourage these other communities of expertise to take part in the preparation of the 2023 conference. The side-event will benefit from the presence in Dakar of high-level representatives in these fields.";60';"H.E. Bérengère Abba, Secretary of State to the Minister of Ecological Transition, in charge of Biodiversity, France (confirmed)
H.E. Akiça Bahri, former Minister of Agriculture of Tunisia (confirmed)
H.E. Ousmane Gaoual Diallo, Minister of Urbanism, Housing and Land Management of Guinea (confirmed)
Prof. Serge Morand, Ecologist and Parasitologist at the CNRS (Centre national de la recherche scientifique) (confirmed)
Mr. Henk Ovink, Special Envoy on Water of the Dutch Government (tbc)
Mr. Serigne Mbaye Thiam, Minister of Water and Sanitation of Senegal (tbc)";
Side event SE;SE5;Tuesday 22 March, 17.00-18.00;Tuesday 22 March, 17.00-18.00;Room 205 CICAD;International Network of Basin Organizations (INBO), International Non-Governmental Organisations (INGOs);INBO World General Assembly Statutory Session;Basin management | IWRM | international cooperation | network | exchange of experiences;"On Tuesday, 22nd of March, from 5 pm to 6 pm. 
1. Opening by Mr. Nizar Baraka, Minister of Equipment and Water of the Kingdom of Morocco, President of INBO
2. Presentation of the 2019-2021 activity report
3. Extension of the Presidency of the Kingdom of Morocco until the General Assembly of 2024
4. Presentation of the 2019-2021 budget report
5. Renewal of the mandate of the INBO Auditor
6. Presentation of the candidacy of the host country of the general assembly of 2024
7. Conclusions by the Presidency (Morocco) ";60';"1. Mr. Nizar Baraka, Minister of Equipment and Water of the Kingdom of Morocco, President of INBO
2. Dr. Eric Tardieu, Secretary General of INBO
3. Mr. Manuel Sapiano, Chief Executive Officer, Energy and Water Agency, Malta President of Europe-INBO
4. Mr. Ramiro Martinez Costa, Secretary of the Mediterranean Network of Basin Organizations (MENBO)
5. Ms. Judith Enaw, President, African Network of Basin Organizations (ANBO)
6. Ms. Michéla Adin, Secretary of the North American Network of Basin Organizations (NANBO)
7. Ms. Dinara Ziganshina, Secretary, Eastern Europe, Caucasus, and Central Asia Network of Water Management Organizations (EECCA-NWO)
8. M. Lupercio Ziroldo Antonio, President, Latin American Network of Basin Organizations (LANBO)";"1. Opening by Mr. Nizar Baraka, Minister of Equipment and Water of the Kingdom of Morocco, President of INBO, 10 min
2. Presentation of the 2019-2021 activity report, 10 min
3. Extension of the Presidency of the Kingdom of Morocco until the General Assembly of 2024, 5 min
4. Presentation of the 2019-2021 budget report, 5 min
5. Renewal of the mandate of the INBO Auditor, 5 min
6. Presentation of the candidacy of the host country of the general assembly of 2024, 5 min
7. Q&A, exchanges between participants, 15 min
8. Conclusions by the Presidency (Morocco), 5 min"
Side event SE;SE50;Tuesday 22 March, 17.00-18.00;Tuesday 22 March, 17.00-18.00;Room 2 EXPO;"World Food 
Programme (WFP)";"World Food Program 
Journeys to the 9th 
World Water Forum";Resilience | Sahel | Climate change | Food and nutrition security | IWRM;Sustainable groundwater management to increase community climate resilience represents an opportunity for innovative investments and management choices that can also contribute to improved household livelihoods and poverty reduction among dryland communities. Since 2018, the World Food Program has been implementing an integrated resilience package across the 5 G5 sahel countries + Senegal under BMZ funding. The session aims to bring together stakeholders in integrated water resources management in the Sahel as well as donors and policy makers to 1/present the WFP's approach to watershed management and the results achieved, 2/convince policy makers of the successful results of the approach, 2/mutualize efforts by exploring opportunities for partnerships with other actors in the sector, 3/explore avenues for innovative financing to enable the scaling up of good practices and the 'cross-fertilization' of initiatives in the Sahel.;60';Mr. Volli Carrucci, Director, Resilience and Food systems services, WFP - HQ . Mr. Jochen Flasbarth, State Secretary of BMZ (TBC)  ;"1.	Introduction (5 mins)
2.	Presentation of the Integrated Resilience Program for the Sahel & Results (15 mins)
3.	Discussion (45 mins)
4.	Conclusions (10 mins)"
Side event SE;SE51;Tuesday 22 March, 17.00-18.00;Tuesday 22 March, 17.00-18.00;Room 6 EXPO;"Sahara and Sahel 
Observatory (OSS)";"Cooperation 
framework and 
approach for 
integrated 
management and 
restoration of shared 
water resources and 
their associated 
ecosystems";Cooperation | Integrated management | Land restoration | Ecosystem | Water;"This session will address the issue of integrated natural resource management, with a focus on shared transboundary groundwater and its interaction with surface water. Relevant results obtained in the context of land restoration will be highlighted. It will also comprehensively address the challenges of integrating ecosystem accounting into countries' planning processes.
It will bring together representatives of basin organizations working in these areas, national or regional cooperation and/or development agencies and national partners.
The specific objectives are : 
- The exchange of good practices for sustainable water resources management between the partner institutions;
- The promotion of concerted management of shared transboundary ground and surface water resources and their associated ecosystems, and the dissemination of best practices;
- Raising awareness among African countries on the importance of internalizing the costs and benefits of biodiversity conservation and sustainable use of ecosystems;
- The promotion of methodological approaches and tools developed for land restoration;";60';"- Modérateur (M. Nabil BEN KHATRA SE/OSS)
'- Panelists :
1.	Mrs. Astrid Hillers (GEF)
2.	Mme Alice Aureli (UNESCO)
3.	M. Abderahim Birème Hamid (ABN)
4.	M. Ahmed Diane SEMEGA (OMVS)
5.	M. Abakar Zougoulou (APGMV)
6.	M. Abdel Kader Dodo (OSS)";"- Welcome speech : 5mn
'- Introductory presentation : 10mns (OSS)
'- Thematic sub-session n°1 : in the form of a debate animated by Questions & Answers with 4 speakers : 20mns
'- Thematic sub-sessions n°2 : in the form of a debate animated by Questions and Answers with 2 speakers : 10mns
'- Closing "" conclusion and lessons learned "" by each panelist (10 min)"
Side event SE;SE11;Wednesday 23 March, 17.00-18.00;Wednesday 23 March, 17.00-18.00;Room 2 EXPO;Association Sénégalaise de Normailisation;STANDARDIZATION IN THE SANITATION SECTOR;Standardization | Sanitation | Regulation | Dissemination;"Within the framework of the 9th World Water Forum, the Senegalese Association for Standardization in collaboration with its technical and financial partners, wishes to organize a side-event. The theme of this event will be: ""Standardization in the sanitation sector"".
This side-event will address issues related to national and international standards existing or to be implemented and the sharing of Senegal's experience in the standardization of the sanitation sub-sector.
Thus, this exhibition aims to raise awareness of standards, to better show their importance in the sector and to promote their appropriation by stakeholders and their use in the regulation and national public policies.
It will be a moment of exchange and sharing between ASN and its partners TUV-SUD, ANSI and the Bill and Melinda Gate Foundation and also of information for all the actors of sanitation throughout the world.";60';"Attiya Sayyed - Project Consultant, International Development- ANSI
Sun Kim - Senior Program Officer BMGF
Mr. Omar Sene, Director of Sanitation
Mr. Doulaye Kone- Deputy Director at Bill & Melinda Gates Foundation
Mr Ibra Sow- President of the Pan African Association of Autonomous Sanitation 
Association des Acteurs de l'Assainissement Autonome (APAA).
Mr. Alioune Ndoye-Mayor of the City of Cayar
Mr Abdourahmane Ndione, Chief Executive of Association Senegalaise de Normalisation";"Opening remarks: 3 minutes
ASN presentation by Abdourahmane Ndione: 10 minutes
ANSI presentation by Marianela Sanders: 10 minutes
Presentation of TUV SUD by Leslie McDermott: 10 minutes
Moderated panel discussion with six experts: 15 minutes
Question and answer session: 10 minutes
Wrap-up and closing: 3 minutes"
Side event SE;SE12;Wednesday 23 March, 17.00-18.00;Wednesday 23 March, 17.00-18.00;Room 11 EXPO;Syctom Agence métropolitaine de gestion des déchets www.syctom-paris.fr ;When do Waste and Water together preserve the environment?;Utilities | Water | Waste | Megacities;"Responsible consumption, micropollutants in the sea and in wastewater, plastic pollution, the congestion of sewage systems, the prospects for co-treatment: so many problems and solutions that show how water and waste management are linked. 
The complicity between these two essential services, which MDGs 6, 11, 12 and 17 make it possible to stage in megacities and elsewhere, deserves to be told by the actors and experts.";60';Pierre Hirtzberger Président de l'ASTEE + Siaap ;TBD
Side event SE;SE16;Wednesday 23 March, 17.00-18.00;Wednesday 23 March, 17.00-18.00;Room 10 EXPO;Urgent Action Fund - Africa;High Level Panel Discussion on Water Justice;Environmental | African | Women | Human Rights Defenders | water security;"Specifically, UAF-Africa will organize a high level panel on 23rd March during the main forum  to discuss the challenges that African womn face when it comes to access, control and use of water. The panel discussions will entail conversations that uplift a critical feminist analysis of African womn’s water justice struggles. Additionally, the panel discussion will seek to  center thought leadership and influence feminist action of alternative solutions to the dominant water governance challenges that African Womn face.
High level panel,  primary target audience are Government officials, multinational companies, and financial institutions.  

";60';Elizabeth Wathuti, Mela Chiponda, Priscilla Achakpa, Gloria Sekonou Dossi, Mari Jean Diouf;
Side event SE;SE28;Wednesday 23 March, 17.00-18.00;Wednesday 23 March, 17.00-18.00;Room 6 EXPO;Direction Assainissement/Administration;Awareness and capacity building of actors for the development of the sanitation market in rural areas;Awareness raising | participatory approaches | market approach | behavior change;"The session is designed as a space for exchange between participants on approaches to sensitizing rural households to sanitation issues and on sanitation marketing. 
It will present the subject and the issues it covers, and discuss the evolution of the PAPTAC, from its genesis to the expanded approach.) The Marketing of Sanitation will also be the subject of exchanges, and the experiences developed by different actors will be analyzed by the participants.";60';"Panelists/Speakers : DA/UNICEF/USAID ACCES/GSF: ATPC/CLTS
Expected moderator: UNICEF SENEGAL 
Panelists/Speakers : DA/GRET/USAID ACCES/: Marketing Sanitation
Expected moderator: CPCS/MEA SENEGAL ";"0 - 5 min.	Introduction/Context
5 - 10 min.	Introductory film
10 - 20 min.	Brainstorming with the audience on the question: Sanitation marketing: a lever to boost access to sanitation in Senegal?   
20 - 40 min.	Presentations (10' each) 
UNICEF: Original PAPTAC - Expanded PAPTAC 
DA: Sanitation Marketing: Lessons Learned from Pilot Projects 
40 - 50 min.	Discussion of presentations 
50 - 60 min.	Key messages and conclusion"
Side event SE;SE33;Wednesday 23 March, 17.00-18.00;Wednesday 23 March, 17.00-18.00;Room 1 EXPO;Direction de l'Environnement et des Etablissements classés / Administration;Halam.Bi: a pilot environmental platform in West Africa, deployed in the Dakar region;Water | Air Quality | Noise | Social ;"Halam-Bi.sn (""environment"" in Wolof) aims to provide a unique digital platform allowing city officials to manage in a dynamic, enlightened and collaborative way, the environmental issues (air-water-noise) posed on their territory. To know, inform, collaborate and collect the feelings of its fellow citizens, such are the objectives of Halam-Bi.sn";60';DEEC/CGQA/NUMTECH/CREOCEAN/SOMEI/Ambiciti ;"1 - Presentation of the platform and its aspects 

2 - Questions about its deployment and use

 "
Side event SE;SE34;Wednesday 23 March, 17.00-18.00;Wednesday 23 March, 17.00-18.00;Room 3 EXPO;German Water Partnership e.V.;Storm Water Management in West Africa – Global Thinking for Local Solutions;Storm Water Management | West Africa;"The long-time partnership between GWP and AfWA has been particularly
deepened through the implementation of our joint project, the German African
Partnership for Water and Sanitation (GAPWAS), in 2019.
Through a knowledge transfer between German and African experts and the
presentation of innovative technologies, this session aims at identifying solution
strategies that can contribute to better management of storm water events in
West Africa.
With climate change, the challenge of storm water management has become a
global one that will grow and increasingly affect both of our continents in the
coming years. Therefore, the networking and exchange of experience between
German and African experts from the water and sanitation sector as well as civil
society organizations and political decision-makers will lay the foundation for
sustainable and long-term cooperation in the field of storm water management.
By involving local authorities, the political importance of storm water
management will be communicated, with the goal to support effective
prevention and control of flood damage in West Africa by corresponding political
agendas.";60';"Mayor of Dakar; Sylvain Usher, Executive Director African Water Association; Dr. Paul Engelke, Managing Director Kleine Solutions; Manuel Krauß, Research Institute for Water, Technical University of Aachen; Dirk Wittenberg, Senior Vice President WILO SE; Julia Braune, Executive Director German Water Partnership e.V.";"5 min: Opening Keynote (Mayor of Dakar)
10 min: Challenges African regions are
facing during heavy rain seasons,
requirements for adapted storm
water management as well as
acquired knowledge and success
stories (Sylvain Usher)
10 min: Identification of potential risk areas
and recommended actions to
minimize economic and ecological
damages from storm water in West
Africa (Dr. Paul Engelke)
10 min: Best Practice sharing and
presentations of lessons learned
from the development of a flood
forecast for the German-Ghanian
project RAIN in Accra (Manuel Krauß)
10 min: Presentation of special pumps and
components for efficient flood
control (Direk Wittenberg)
15 min: Moderated discussion with the audience (Julia Braune)"
Side event SE;SE35;Wednesday 23 March, 17.00-18.00;Wednesday 23 March, 17.00-18.00;Room 4 EXPO;AAE;Contribution to the Circular Economy through the sustainable management of drinking water services: Case of Non-Revenue Water (NRW);Circular economy | NRW | water utility | WOP | peer-to-peer;"Water utilities around the world and particularly in developing countries face major challenges, in particular the high level of water losses, due to leakage in the networks, fraud, billing problems, metering problems etc. The difference between the volume of water that enters the distribution system and the water billed to consumers is called Non-Revenue Water (NRW).
Each year more than 32 billion cubic meters of treated water are lost due to leaks in the distribution system. In addition, 16 billion cubic meter per year are supplied to customers without being billed, due to theft, faulty meters or corruption. An estimate of the total annual cost of these losses to water companies worldwide is US$14 billion. These losses would represent 50% to 60% of the water supplied, compared to the world average of 35%. Saving this amount would provide water to an additional 100 million people without any additional investment. 
In many African countries, NRW often reaches such high proportions that it significantly compromises the financial viability of companies by reducing their capacity to serve the population. Also, NRW increases human pressure on the environment, particularly by encouraging the over-exploitation of freshwater resources. 
Through the Water Operators' Partnerships (WOP) approach as a peer-to-peer learning process, AfWA has proven its effectiveness to address identifying challenges and improving operator performance to accelerate progress towards the MDGs in water and sanitation services.
";60';"Chair: Ms Koubra Hissène ITNO, DG Chadian water Company
Moderator: Olivier Gosso, SODECI, Cote d'Ivoire
Presenter: Gilles Djagoun, senior Programme coordinator, AfWA
PANELISTS
i.	Dr. Rose Kaggwa, NWSC, Uganda
ii.	Mr Olivier Gosso, SODECI, Cote d’Ivoire
iii.	Mr. Olivier Billard, DIELT, France
iv.	Mr. Michael Kerstin, GWP, Germany
v.	Mr. Lars Stordal, GWOPA, Germany
";"Opening by the chair: 05 min
Introduction by the moderator: 05 Min
Presentation: 10 min
Panel discussion: 35 min
Closing/wrap up: 05 min"
Side event SE;SE39;Wednesday 23 March, 17.00-18.00;Wednesday 23 March, 17.00-18.00;Room 7 EXPO;UNICEF;Dialogue with Young Voices of the Sahel and UNICEF;debate | water | participation | youth | Sahel;Building on two public debates bringing together Young Voices of the Sahel (100 young people from 10 Sahelian countries) and political decision-makers and experts, the session aims to hear the testimonies of young people around the issue of water in their daily lives, and to promote an exchange with political actors and experts to outline solutions, particularly by putting these young people in the position of actors of change, and supporting their access to courses and green jobs.;60';We expect the presence of Mr. Abdoulaye Sène, Mr. Djibrin Niang (Young Volunteers for the Environment), Mr. Ruben Bayiha (UNICEF), and 10 young people from the 10 Sahel countries. The moderation will be ensured by Mrs. Charlotte Idrac (RFI correspondent in Senegal);"5:00 pm: Opening (possible video of support from Ms. Angélique Kidjo)
17h05: Water shortage, floods, coastal erosion: what consequences for children, their health and their future. Discussion with Ruben Bayida and 5 young people
17h30: Turning the challenge of water into an opportunity for development. What solutions, what recommendations? Discussion with Mr. Abdoulaye Sène, Mr. Djibrin Niang (Young Volunteers for the Environment) and 5 young voices from the Sahel
17h55: Conclusion - Mr. Abdoulaye Sène."
