Type of Session;Session code;Session Title;Date and time of the session;Date and time of the session2;Room;Session Summary;Session schedule;Keywords;Convening organization and session coordinators;Duration of the session
Special Session;SS10;Accelerating gender equality in the water domain: the way forward;Tuesday 22nd of March from 13.30 to 15.00;Tuesday 22nd of March from 13.30 to 15.00;Room 13;"The extensive analysis of gender-related achievements and challenges in the water domain carried out by the Water and Gender working Group led by UNESCO WWAP clearly suggests that - despite advances at international policy-level - progress in the fulfilment of the basic right of gender equality in water and sanitation is not on track. Women remain underrepresented with respect to employment and participation to decision-making at all levels in the water domain. Eight years to the end-date of the 2030 Agenda for Sustainable Development, bold and ambitious concrete action is urgently needed.

Unlocking progress towards gender equality in water needs solid knowledge, practical solutions, and collaborative action. UNESCO WWAP together with a Multi-stakeholder Coalition, which includes Member States’ institutions, international and regional organizations, academia and NGOs, is leading a global Call for Action for accelerating progress towards gender equality in the water domain and building just and resilient societies. 

This special session presents the efforts on the ground to reach the common goal and to close the data gap in the water sector in pursuit of gender equality. Mobilised by the Call for Action Initiative, a number of organizations and experts will discuss strategies and good practices in overcoming persistent gender-related challenges in water. Similarly, the session will explore how decision makers in different global regions are addressing gender inequalities in water governance and in adaptive integrated water management, as well as share knowledge on approaches to increase the resilience and inclusion of community members.";"Welcoming words (5 min)
UNESCO WWAP Director, Michela Miletto – Introduction to the Call for Action

Multi-Stakeholder Coalition members: support to the Call for Action and Introduction to the 2023 International Water Decade Mid-Term Celebrations (20 min)
o	Slovenia – Borut Pahor, President 
o	The Netherlands  - Kitty van der Heijden, Director General for International Cooperation,  Ministry of Foreign Affairs
o	Tajikistan – Sirojiddin Muhriddin, Minister for Foreign Affairs
o	Italy – Marina Sereni, Vice Minister for Foreign Affairs and International Cooperation 

Multi-Stakeholder Coalition members: country perspectives (50 min)

Panel 1: Better data for better informed water decisions (20')
o	Argentina – María Eugenia Vargas Zambrano, Gender Commission Head, COHIFE (Consejo Hidrológico Federal) 
o	Costa Rica – Pilot plan to disaggregate national statistical water data by sex -  Vivian Gonzalez Gimenez, Director of Projects and Strategic Processes, Ministry of Water and Energy
o	Liberia - (TBC)
o	World Bank - Karin Krchnak, Programme Manager, 2030 Water Resources group / or / Kamila Galeza, Social Development Specialist, World Bank Group 

Panel 2: Policies and programmes that work on the ground – Regional experiences of water and gender policies (30')
o	AMCOW – Comfort Kanshio, ASPG Support Officer and Gender Focal Point -  The gender mainstreaming and youth policy
o	Asian Development Bank - Strengthening WASH Practices and Hygiene Behavioural Change in the Pacific / Regional organisation, Vivian Castro-Wooldridge
o	Mediterranean Youth for Water Network, Ms. Fatine Ezbakhe, Coordinator 2020-2022 / or / WSP 
o	WIWAS – Supporting women professionals in water services in Africa – Ms. Leunita Sumba, Chairperson
o	Ivory Coast – Ms. Euphrasie Kouassi Yao, Advisor to the President on gender issues, former Minister 
o	AFD (French Development Agency)– Ms. Celine Gilquin, Head of Water and Sanitation 

  
Questions & Answers (15 min)";Gender | equality | women empowerment | water governance | action;UNESCO WWAP, Intergovernmental Organization;90'
Special Session;SS11;Cross Cutting Issues across thematic areas ;Thursday 24th of March from 9.00 to 10.30;Thursday 24th of March from 9.00 to 10.30;Room 12;This session looks at cross cutting solutions that cuts across the thematic areas and generates a multidisciplinary dialogue across disciplinary areas surrounding water ;"overview - 5 min
brief interventions by co chairs - 30 min  
moderated discussion - 30 min 
summary and way forward - 15 min ";Water security | climate | rural development | food security | Nexus ;WWC;90'
Special Session;SS12;Mediterranean solutions from the 4th Mediterranean Water Forum, Malta, Dec 2021;Thursday 24th of March from 13.30 to 15.00;Thursday 24th of March from 13.30 to 15.00;Room 12;"The 4th Mediterranean Water Forum, held in Malta in December 2021, was a platform for exchanging and consolidating know-how and experiences in the field of water in the Mediterranean. It identified effective responses to ensure water security. This theme is of crucial importance for the Mediterranean where demographic changes, socio-economic challenges and the effects of climate change are constantly threatening water security. The Mediterranean process will attempt.
Based on the exchange of experiences during the Malta forum, best practices and technologies developed were identified to be presented as answers to the challenges related to water security in the region and beyond including
a) Water solutions inspired by regenerative nature with innovative operating models. 
b) A water efficiency monitoring tool, providing an audit and improvement of the hydraulic performance of water supply systems
c) Reconciliation of industrial growth with the preservation of water resources through the implementation of a ""Circular Economy"" program based on a strategy of optimizing consumption and the use of non-conventional waters 
d) Methodological guide for a technical assistance approach to perimeters irrigated by treated wastewater
e) World Observatory of non-conventional water resources and associated renewable energies whose aim is to complement the work of institutions by bringing research and application experiences to a wider audience.";"13:30- 13:35 Welcome by Mr. Alain Meyssonnier, President of the Mediterranean Water Institute (IME)
13:35-13:40 Introductory remarks by Mr. Almotaz Abadi, Director General at the Secretariat of the Union for the Mediterranean (UfM)
13:40-13:50 Review of the 4th Mediterranean Water Forum in Malta by Mr. Alain Meyssonnier (EMI) and Mr. Almotaz Abadi (UfM)
13:50-14:20 Innovative solutions from the Malta Forum :
- Zineb Benjelloun, OCP Morocco, ""Water challenges seen by an industrialist"".
- Maha Alsalehi, EMWIS, ""HYDROSA Project
- Michel Nalbandian, Eaux de Marseille Maroc, ""Audit and improvement of the hydraulic performance of drinking water supply systems
- Octavi Quintana, PRIMA ""International Cooperation"" (tbc)
- Representative AECID, ""Financing the water sector"" (tbc)
14:20-14:35 Discussion (Q/R)
14:35-14:45 Synthesis of the Mediterranean session by Ms. Charafat Afailal, former Minister in charge of water in the Moroccan Government
14:45-14:50 Conclusion by Mr. Moez Allaoui, Director of the National Company of Exploitation and Distribution of Water of Tunisia (SONEDE)
14:50-15:00 Closing remarks by Mr. Loïc Fauchon, President of the World Water Council (WWC)";MEDITERRANEAN | INNOVATIONS | WATER | COOPERATION PLATFORM;MEDITERRANEAN WATER INSTITUTE;90'
Special Session;SS13;International Observatory on Non-Conventional Water Resources and Dedicated Renewable Energy;Thursday 24th of March from 9.00 to 10.30;Thursday 24th of March from 9.00 to 10.30;Room 201;"The Mediterranean and the Sahel are among the poorest regions of the world in terms of fresh water, which leads them to use other types of water than lakes, rivers and aquifers, and which are therefore called non-conventional water resources: wastewater, which is treated to be reused, and salt water or marine water, which is desalinated. These mobilizations are developing rapidly in view of demographics and global warming, but at the cost of sharply rising energy consumption that runs counter to climate objectives.
The information on this evolving subject is incomplete, not updated, not validated and not shared despite the inventories of Aquastat, Desaldata or IRENA. International organizations such as AFD, EBRD or IEA commit significant expenses for studies that only provide a partial and punctual picture of the situation.
Thanks to its professional network and partners, the EMI has identified a strong expectation of water and energy stakeholders (planners, designers, builders, operators, researchers, etc.) for an international observatory that would gather and make accessible information on this topic (indicators, maps, installations, projects, experts, regulations, etc.) while allowing dynamic exchanges between countries. The sharing of experiences would thus make available the best practices or innovations in the technical, economic or social field, which are the only ones capable of achieving the SDGs. The launch of this observatory is possible thanks to the project prepared by the EMI and of which a prototype realized by a group of countries will be shown in Dakar.";"
9:00-9:10 Opening remarks by Mr. Alain Meyssonnier, President of the Mediterranean Water Institute (IME)
9:10-9:15 Introductory remarks by Mr. Almotaz Abadi, Director General of the Union for the Mediterranean (UfM) Secretariat
9:15-9:30 Presentation of the feasibility study and its recommendations by the EMI expert groups:
- Mr. Mokhtar Bzioui, Chairman of the EMI Scientific and Technical Committee
- Mr. Mohammed El Ghali Khiyati, REUSE Expert
9:30-10:10 Ongoing activities as a prototype of the future Observatory by Countries and Partners:
- Representative of the Spanish Ministry of Ecological Transition and Demographic Challenge (tbc)
- Ms. Latifa Dhaouadi, IME & Ms. Paola Pommier, SCP ""Methodological guide for the implementation of REUSE pilot projects"" (tbc)
- Mr. Rifaat Abdelwahab, HCWW Egypt
- Mr. Mohammed Bany-Mustapha & Mr. Issa Al-Wer, Ministry of Water and Irrigation, Jordan
- Mr. Khaled Zaabar, SONEDE Tunisia
10:10-10:25 Discussion (Q/R)
10:25-10:30 Conclusion by Mr. Loïc Fauchon, President of the World Water Council Alain Meyssonnier, President of the Mediterranean Water Institute (IME)";NON-CONVENTIONAL WATER | OBSERVATORY | RENEWABLE ENERGIES;MEDITERRANEAN WATER INSTITUTE;90'
Special Session;SS14;Improving water governance: from knowledge to action;Thursday 24th of March from 13.30 to 15.00;Thursday 24th of March from 13.30 to 15.00;Room 202;"The session aims to explore innovative ways of generating and sharing practical knowledge on integrated water resource management (IWRM) among a wide range of stakeholders across sectors and scales. It will highlight concrete water and climate solutions brought by different groups that have proven to be sustainable in the countries and sectors where they were implemented (e.g., in food security, social inclusion, transboundary cooperation, etc.). In an interactive way, it will dissect some of those cases to allow the participants to reach conclusions and recommendations jointly. 

The session will also mark the global launch of the GWP Toolbox: IWRM Action Hub which apart from offering the world’s most comprehensive selection of knowledge resources on IWRM (90 Tools, 250 case studies and 2,500 resources), will also serve as a connecting hub for water professionals who will be able to connect and exchange in the Communities of Practice hosted in the ActionHub. The participants will have the opportunity to enhance their knowledge through practical tips and hands-on activities though our various Communities.  

GWP and WMO will also jointly launch a new challenge/contest for innovative Knowledge to Action (K2A) solutions contributing to climate adaptation and mitigation, which will be directly submitted and featured on the IWRM ActionHub. Rather than focusing on technological and scientific approaches, these solutions should clearly highlight how they are fostering systemic change for becoming more water and climate secure.  ";"Part 1: From knowledge to action 
Presentations of creative initiatives and innovative solutions – 15 min (5 pitches x 3 min each) 
Fishbowl discussion with presenters – 15 min 

Part 2: Why Communities of Practice? 
Experience sharing and practical exercise: IWRM Action Hub Communities of Practice – 20 min (4 communities of practice X 5 min each)  
What makes a good Community of Practice: Reflections – 10 min 

Part 3: Contest launch 
Setting the scene – 5 min 
Co-creation exercise with participants: identifying priority areas for the contest using the Action Framework of the 9th World Water Forum– 20 min 
Official launch of the innovative Knowledge to Action (K2A) contest– 5 min 
";"Data-driven decision-making | Practical Solutions | Knowledge alliances | Triangular cooperation | Communities of Practice
";Global Water Partnership;90'
Special Session;SS15;Rural development to build resilience to global change;Thursday 24th of March from 13.30 to 15.00;Thursday 24th of March from 13.30 to 15.00;Room 10;"The scarcity of water resources is a phenomenon that is intensifying under the effect of the strong pressure on water and climate change impacting mainly the most vulnerable rural communities. The latter are dependent on water resources for their socio-economic activities. 
Moreover, the real needs of the vulnerable rural population are not really taken into account and sufficiently represented in the decision-making process concerning hydro-agricultural investment projects and territorial development. 
Therefore, this special thematic session aims to emphasize the need to ensure rural development that takes into account the real needs of vulnerable populations, often unable to cope with global changes. 
It will also allow :
To present Morocco's programs and sectoral strategies aimed at strengthening the resilience of populations to climate hazards (the Drinking Water Supply and Irrigation Program 2020-2027, the Generation Green Strategy 2020-2030, the National Watershed Management Plan, INDH......)
Emphasize the need to improve water management at the local level, in order to contribute to the strengthening of the resilience of the rural population, improve their living conditions and reduce their poverty level.
To present good practices of water and soil conservation";Program being developed in coordination with partners   ;"Strengthening the resilience of populations to the variability of water resources |
The implementation of infrastructures (hill lakes, small dams, water retention sills for water and soil conservation) |
The increase of water productivity through the scaling up of good agricultural practices
";Ministry of Equipment and Water/General Directorate of Water ;60'
Special Session;SS16;Carbon-Neutral Smart Water Management for Climate Resilience;Tuesday 22nd of March from 10.45 to 12.15;Tuesday 22nd of March from 10.45 to 12.15;Room 4;"This session by the Korea Water Forum and the Ministry of Environment of the Republic of Korea will share the latest solutions for carbon-neutral smart water management, and provide the framework and direction for the regional cooperation and partnership enhancing climate resilience and achieving sustainable development.

Discussion on the status and trends of smart water management, with a special focus on the innovative technologies to reduce carbon emissions, will deliver useful implications in designing better water solutions. Good governance and policies are other key factors in carbon-neutral smart water management facilitating the cooperation among different sectors in a way to maximize synergies for climate resilience. Appropriate finance and legislation, which are essential to make innovative water solutions to be implemented, will also be an important topic to be addressed in this Session. 

The agendas have been developed with the strong linkage between the theme of the 9th WWF and its priorities focusing on ‘Cooperation’ and ‘Means and Tools’. Achieving regional cooperation for water management is essential to collect and disseminate the water solutions and experiences among diverse stakeholders in the water sector. Adapting appropriate technology, good governance and policies are focal areas of the Means & Tools. 

Objective:
 o  Promote actions to develop water solutions that contribute to carbon neutrality
 o  Strengthen cooperation and partnership to achieve the common goal of carbon-neutral 
     water management 
 o Close the knowledge gap in water management and climate change between the private 
    and public sectors, as well as among different social and age group";"? Opening and Introduction(5min)
	
? Opening Remarks(3min)

? Panel Discussion (60min, 20min per each agenda)
  (Agenda I) Water Solutions to Climate Resilience through Innovative Carbon-Neutral 
   Technologies
  (Agenda II) Policies and Governance for Carbon-Neutral Water Management to achieve 
   Climate Resilience
  (Agenda III) Regional Cooperation and Partnership for Climate Resilience in Water 
   Management

? Moderated Discussion(20min) 
   : Global Youth Delegations

? Closing: Moderator Wrap-up(2min)

";Carbon-Neutral Water Management | Climate Resilience | Technology Innovation | Policies and Governance | Cooperation | Partnership;The Korea Water Forum(NGO, Civil Society Organization);90'
Special Session;SS17;Egypt National Water Resources Plan as a Tool for Achieving SDGs;Tuesday 22nd of March from 13.30 to 15.00;Tuesday 22nd of March from 13.30 to 15.00;Room 2;"Water challenges in countries that suffer from water scarcity have become more complex than before, especially in light of population increases, rising standards of living, and an increase in demand for water from competing sectors. In addition, the effects of climate change and complex cooperation with riparian countries sharing international rivers add more pressure, especially with unilaterally adopted decisions that would increase challenges and threaten the stability and peace of the region. Integrated Water Resources Management strategies acknowledge that water needs to be managed as a system – where water system boundaries often do not correlate with political or administrative boundaries. For achieving good governance and increasing water use efficiency and sustainability, integrated solutions are needed, followed by effective and coordinated cross-sectoral implementation. Such actions would enhance the process of achieving the SDGs.

Water scarcity in Egypt will increase for several reasons. Climate change may result in less predictable annual inflow into Lake Nasser, reduced rainfall in northern Egypt, and increased crop water requirements. Projected population growth is an even predominant determinant of increased water scarcity. In 2037, the amount of available freshwater per capita of the population; is expected to be less than 35% of 2017 levels. A larger population has greater demands for drinking water, while the sustained economic growth intended by Egypt will increase industrial freshwater demands, and return flows of water from domestic and industrial uses will affect its suitability for further use. The agricultural sector will be strongly affected by the growing scarcity of good quality water and will be hard-pressed to continue to contribute 12% to GDP and to prevent the existing food gap from widening further.
The Egyptian Ministry of Water Resources and Irrigation (MWRI) is one of the oldest agencies in the Egyptian government. Its establishment dates back to 1836 as an institution that carries thousands of years of unique experience in irrigation and Nile River control which is the mainstay of life in Egypt. MWRI is concerned with planning and managing water resources through the implementation of the long-term National Water Resources Plan 2037 (NWRP2037), which has been built primarily on experiences gained and lessons learned from the implementation of the previous NWRP2017. In addition, the current plan is firmly aligned to the vision provided by Egypt’s Sustainable Development Strategy 2030, it also enables Egypt’s society, economy, and environment to share effectively the available water for a robust, balanced, diversified, and knowledge-based economy, characterized by justice, social integration, and participation, and by a balanced and diversified ecosystem. Finally, it is worth mentioning that Egypt has made tangible progress in implementing SDGs No. (6.5.1) which is concerned with the degree of integrated water resources management implementation, as the percentage of implementation of the indicator increased from 40% in 2017 to 63% in 2020.

";"Panelists :(75 min)
o	Overview on NWRP and the current status of implementation, H.E Dr. Mohamed Abdel-Aty, Minister of Water Resources and Irrigation (MWRI)
o	Climate change challenges along the Northern Coast of Egypt, Dr. Mohamed Ahmed, Project Manager, Enhancing Climate Change Adaptation in the North Coast and Nile Delta Regions in Egypt Project (ECCADP)
o	VICMED Development Corridor and Bilateral Cooperation with the Nile Basin Countries”, Dr. Mamdouh Antar, chairman of Nile Water Sector, MWRI
o	Training Potential, Eng. Tarek El Sayed, Regional Training Center, MWRI
o	Preparation for CWW 2022 and COP 27, Dr. Eman Sayed, Head of Planning Sector, MWRI

";Scarcity | Climate Change | Nile Basin | SDGs | IWRM;"Head of Planning Sector
Executive Director, Cairo Water Week Permanent Secretariat
Ministry of Water Resources and Irrigation
";90'
Special Session;SS18;The Role of Scientific Research in maximizing Water-Use Efficiency, and Wastewater Reuse;Thursday 24th of March from 13.30 to 15.00;Thursday 24th of March from 13.30 to 15.00;Room 8;"The reuse of wastewater has become an increasing trend over time as it’s one of the main non-conventional water resources.  Moreover, maximizing freshwater use efficiently is needed to cope with water scarcity.
This session presents mitigating measures to the increased water stress over the years in the countries suffering arid conditions with limited freshwater resources. Egypt is pursuing to keep the SDGs in its water strategy, hence, the National Water Research Center (NWRC) of Egypt addresses the relevant research topics that are intended to maximize the benefit from each drop of water. 
Several research outcomes are planned to be presented in the session. The research projects that are going to be presented are focused on the UN-SDG targets which address wastewater treatment and safe reuse, and increase water-use efficiency.
The NWRC research facilities, capabilities, and innovation are going to be highlighted. Then in line with the NWRC research for wastewater reuse as a potential water resource, the NWRC’s researchers developed an affordable compact technique for the treatment of wastewater. The outflow from the treatment process shows a very good quality of water that might be reused for broad uses.
The long experience of the NWRC in water quality monitoring networks towards the reuse drainage water along with safe-water reuse is going to be presented. Considering the concept that each water drop is counted, the rainwater harvesting techniques that used in Egypt. Finally, the safety management of hydraulic structures for efficient water management is going to be presented focusing on the Egyptian Experience.
";"Session schedule 
The session aims at increasing the awareness of the water-stress situations that some African countries are facing due to the limitation of in-land freshwater resources and. The session is also paving the road for cooperation under the African agenda 2063. 
This session presents mitigating measures to the increased water stress over the years in the countries suffering arid conditions with limited freshwater resources. Egypt is pursuing to keep the SDGs in its water strategy. Hence, the National Water Research Center (NWRC) of Egypt addresses the relevant research topics that are intended to maximize the benefit from each drop of water. 
A number of research institutes under the NWRC are going to present their experience facing water stress. The total duration of the session is 90 min. The list of presentations is as follows:

	Title	Speaker
1.	Introduction to NWRC	Prof. Khaled Abdel Hai (President of NWRC)
2.	“Low-Cost Innovative Wastewater Treatment”	Prof. Salwa Abou Ella (Vice-president of NWRC)
3.	“Water Quality Monitoring to Support Drainage Water Reuse (case study in Egypt)”	Dr. Aiman El Saadi
4.	“Rainwater harvesting (Case studies from Egypt)”	Prof. Gamal Kotb / Dr. Islam El Zayed
5. 	“Safety management of hydraulic structure (Egypt Experience)”	Prof. Eehab Khalil
";water scarcity | non-conventional water resources | water resources management | wastewater reuse | water efficiency;National Water Research Center of Egypt;90'
Special Session;SS19;Water: connector of solutions to face global changes ;Thursday 24th of March from 9.00 to 10.30;Thursday 24th of March from 9.00 to 10.30;Room 7;"The session aims to present water as a key element without which none of the 
problems associated with global changes will be resolved: combating desertification, resilience to change climate and epidemic prevention. The session also aims to discuss how it is possible to revive, in some form or another, the Climate is water initiative, so as to produce, by the community, and in the shortest possible time, (from preferably in view of COP 27) a series of synthetic but unified messages, to be transmitted to external partners, and to broadcast during major international events.
";tbd;water | solution |  climate change | desertification;Global Changes Task Force (World Water Council);90'
Special Session;SS20;The Power of Peer Partnerships: EU-backed Mentorship for Utility Improvement;Monday 21st of March from 14.00 to 15.30;Monday 21st of March from 14.00 to 15.30;Room 12;"The EU-WOP Programme is a four-year initiative, led by UN-Habitat’s Global Water Operators’ Partnerships Alliance (GWOPA) and funded by the European Commission IntPA. The program is enabling twenty-two international Water Operators’ Partnerships projects, involving over 50 partner organizations in Africa, Asia and Latin America over the coming three years, in boosting the capacity and performance of utilities with the support of their peers. 
The session will hear from front line water and sanitation service providers from different parts of the globe, how they are working, through partnership and peer support, to build knowledge and co-create solutions to their biggest challenges. The dynamic and interactive session will seek to provide visibility to this important EU-funded programme while engaging a wide geographic and stakeholder range in answeringaddress the following questions: 
-	How are the EU- WOP projects building utilities’ capacity and improving utilities performance? 
-	? How are the EU-WOP projects helping utilities access finance?, and make best use of the investments they need?
-	Where can governments, NGOs, and financial institutions connect to and add value to these partnerships?
-	How are WOPs (Water Operators’ Partnerships) changing the game for water cooperation? Can WOPs help move to more demand-led, co-created, capacity-focused, investment-linked and sustainable partnerships? What prospects for South-south cooperation? ";"AGENDA
Opening (20 minutes)
•	Perspectives on Partnerships for Sustainable Utilities ,European Commission DG Intpa
•	A birds’ eye view on the EU-WOP programme from UN-Habitat GWOPA
•	EU-WOP Video

The new Water Operators` Partnerships (WOPs) – Spotlight Interviews (65 minutes)
•	The Nature(s) of the EU-WOPs – Peer to peer, diverse constellations, North-South and South-South, capacity focus, healthy partnerships
•	WOP Focus – What operational, financial, environmental and social challenges are WOPs helping utilities tackle? What innovations are emerging?
•	Leveraging Improvements – how are the EU WOP projects mobilizing finance? Catalyzing sectoral change? Driving innovation for greener and more inclusive services?

Launch Moment & Close of session (5 minutes)
";Utilities | European Green Deal | Capacity | Finance | Access for All;GWOPA/UN-Habitat (United Nations);90'
Special Session;SS21;Initiative Dakar 2022 - Spotlight on WATER SECURITY & SANITATION;Monday 21st of March from 14.00 to 15.30;Monday 21st of March from 14.00 to 15.30;Room 201;"The ""Dakar 2021 Initiative"" aims, during the preparatory phase of the Forum, to select, label and popularize relevant, innovative, structuring and replicable national, regional and international projects, producing short-term results with a sustainable impact around the Forum's priorities, and whose purpose is to contribute to the acceleration of the achievement of the SDGs, and more particularly of SDG6.
The Dakar 2022 Initiative is the materialization of the vision: ""From commitment to implementation of concrete actions on the ground"".
This session will present the Initiative through its genesis, its process, its results and its follow-up. It will explore the labeled projects in relation to the Forum's priority ""Water and Sanitation Security"".";"Part 1
Duration: 10 minutes - Introduction: 
The moderator will introduce the Dakar 2022 Initiative and present the results achieved against the stated priority. 

Part 2
Duration: 7 minutes per project + 5 minutes of discussion
Presentation of six (6) labelled projects by the promoters followed by discussions

Part 3
Duration: 8 minutes - Conclusion
Lessons learned by the Moderator. ";Initiative | labelling | Response path | Water security | Sanitation;Executive Secretariat of the 9th World Water Forum;90'
Special Session;SS22;Initiative Dakar 2022 - Spotlight on WATER FOR RURAL DEVELOPMENT;Wednesday 23rd of March from 10.45 to 12.15;Wednesday 23rd of March from 10.45 to 12.15;Room 11;"The ""Dakar 2021 Initiative"" aims, during the preparatory phase of the Forum, to select, label and popularize relevant, innovative, structuring and replicable national, regional and international projects, producing short-term results with a sustainable impact around the Forum's priorities, and whose purpose is to contribute to the acceleration of the achievement of the SDGs, and more particularly of SDG6.
The Dakar 2022 Initiative is the materialization of the vision: ""From commitment to implementation of concrete actions on the ground"".
This session will present the Initiative through its genesis, its process, its results and its follow-up. It will explore the labeled projects in relation to the Forum's priority ""Water and Sanitation Security"".";Part 1;Initiative | labelling | Response path | Water security | Sanitation;Executive Secretariat of the 9th World Water Forum;90'
Special Session;SS23;Initiative Dakar 2022 - Spotlight on COOPERATION;Thursday 24th of March from 10.45 to 12.15;Thursday 24th of March from 10.45 to 12.15;Room 13;"The ""Dakar 2021 Initiative"" aims, during the preparatory phase of the Forum, to select, label and popularize relevant, innovative, structuring and replicable national, regional and international projects, producing short-term results with a sustainable impact around the Forum's priorities, and whose purpose is to contribute to the acceleration of the achievement of the SDGs, and more particularly of SDG6.
The Dakar 2022 Initiative is the materialization of the vision: ""From commitment to implementation of concrete actions on the ground"".
This session will present the Initiative through its genesis, its process, its results and its follow-up. It will explore the labeled projects in relation to the Forum's priority ""Water and Sanitation Security"".";Part 1;Initiative | labelling | Response path | Water security | Sanitation;Executive Secretariat of the 9th World Water Forum;90'
Special Session;SS24;Initiative Dakar 2022 - Spotlight on MEANS AND TOOLS;Thursday 24th of March from 13.30 to 15.00;Thursday 24th of March from 13.30 to 15.00;Room 13;"The ""Dakar 2021 Initiative"" aims, during the preparatory phase of the Forum, to select, label and popularize relevant, innovative, structuring and replicable national, regional and international projects, producing short-term results with a sustainable impact around the Forum's priorities, and whose purpose is to contribute to the acceleration of the achievement of the SDGs, and more particularly of SDG6.
The Dakar 2022 Initiative is the materialization of the vision: ""From commitment to implementation of concrete actions on the ground"".
This session will present the Initiative through its genesis, its process, its results and its follow-up. It will explore the labeled projects in relation to the Forum's priority ""Water and Sanitation Security"".";Part 1;Initiative | labelling | Response path | Water security | Sanitation;Executive Secretariat of the 9th World Water Forum;90'
Special Session;SS25;Water security approach: a key solution for successful IWRM implementation beyond the SDG era;Monday 21st of March from 14.00 to 15.30;Monday 21st of March from 14.00 to 15.30;Room 13;"The objective of this panel is to allow participants to discuss the challenges and issues related to water security in Senegal and to formulate concrete recommendations for a better integration of the water security approach in policies, strategies and programs. The panel will present:
- The challenges and issues related to water security in Senegal;
- The issues of governance of BR and sectoral policy for a good IWRM;
- The organizational and legal framework of IWRM for a good implementation of water security;
- The circular economy of water as a factor of economic development (agriculture, industry...);
- The development of infrastructures for a sustainable management of water resources;
- Water quality as an important factor in preserving the health of populations;
- The management of water-related conflicts through internal and transboundary agreements on the management of water resources;
- The principle of the taxpayer pays as a means of generating resources to balance this sub-sector;";The moderator will introduce the Dakar 2022 Initiative and present the results achieved against the stated priority. ;Water security | Governance | Circular economy | water quality | conflict management | pre-tax-pay principle ;Direction de la Gestion et de la Planification des Ressources en Eau - Ministère de l'Eau et de l'Assainissement du Sénégal;90'
Special Session;SS26;Nature-based solutions: building resilient responses to climate change and water scarcity;Thursday 24th of March from 10.45 to 12.15;Thursday 24th of March from 10.45 to 12.15;Auditorium;"The objective of this session is to discuss SfN adapted to the Senegalese context and allowing to support the concepts of green growth or green economy in order to reduce the impacts of climate change on the sustainable use of water resources. The panel will present and deepen :
- Challenges and issues related to climate change on water resources in Senegal - Water security and the concept of circular water economy
- Natural solutions to increase resilience to the impacts of climate change
- Green (natural) infrastructure solutions for sustainable water management (availability, quantity and quality)
";;Climate change | Climate | Sustainable natural solutions | Resilience | Water scarcity | Preservation | Natural resources | Biodiversity | Water economics;Direction de l'Assainissement, Ministry of Water and Sanitation of Senegal;90'
Special Session;SS27;Innovating in Water Financing: Practical Initiatives to revolutionize Financing for Water, Sanitation and IWRM;Tuesday 22nd of March from 13.30 to 15.00;Tuesday 22nd of March from 13.30 to 15.00;Room 201;The session will be an opportunity to analyze and discuss in depth the constraints related to the large financing gaps to support the 2030 roadmap. A review of the weaknesses related to the classic 3T model will also be posed to highlight the weak points that require conceptual and practical adjustments. Most exciting, however, will be the presentation of concrete initiatives for innovation in water and sanitation and IWRM financing, including those based on testing and scaling up solutions involving private sector actors and other non-traditional sources of finance. Particularly for low-income countries, the decline in official development assistance volumes in recent years suggests the need for other emerging mechanisms such as blended finance strategies. It is also relevant to recognize that innovation in water financing will be found in the search for productivity niches in operating expenses, in the control of water losses, in the very important potential to be drawn from the circular economy, etc. The World Water Forum in Dakar being an opportunity for an evaluation of the roadmap for the MDG6, this session will highlight very useful levers to revolutionize the development of water financing models in order to put the SDG6 curve back on track in the coming years.;Part 2;Financing | Innovation | Water | Sanitation | IWRM | Private sector | Financing SDGs;Ministère de l'Eau et de l'Assainissement du Sénégal;90'
